"Source Text","Translated Text","Context"
"User Management","User Management","Page Title"
"Compliance Dashboard","Compliance Dashboard","Page Title"
"Tenant Administration","Tenant Administration","Page Title"
"Overview","Overview","Tab Title"
"Users","Users","Tab Title"
"Profile","Profile","Tab Title"
"Roles & Permissions","Roles & Permissions","Tab Title"
"Activity Monitor","Activity Monitor","Tab Title"
"Settings","Settings","Tab Title"
"Reports","Reports","Tab Title"
"Analytics","Analytics","Tab Title"
"Total Users","Total Users","KPI"
"Active Users","Active Users","KPI"
"Inactive Users","Inactive Users","KPI"
"Active Sessions","Active Sessions","KPI"
"Compliance Score","Compliance Score","KPI"
"Violation Count","Violation Count","KPI"
"Total Policies","Total Policies","KPI"
"Total Evidences","Total Evidences","KPI"
"Total Tenants","Total Tenants","KPI"
"API Usage","API Usage","KPI"
"Storage Used","Storage Used","KPI"
"Create New User","Create New User","Button"
"Create New Policy","Create New Policy","Button"
"Create Tenant","Create Tenant","Button"
"Add Evidence","Add Evidence","Button"
"Export Data","Export Data","Button"
"Import Data","Import Data","Button"
"Refresh","Refresh","Button"
"Save","Save","Button"
"Cancel","Cancel","Button"
"Delete","Delete","Button"
"Edit","Edit","Button"
"Update","Update","Button"
"Submit","Submit","Button"
"Approve","Approve","Button"
"Reject","Reject","Button"
"Archive","Archive","Button"
"Restore","Restore","Button"
"Activate","Activate","Button"
"Deactivate","Deactivate","Button"
"Suspend","Suspend","Button"
"Resume","Resume","Button"
"Search users...","Search users...","Placeholder"
"Search policies...","Search policies...","Placeholder"
"Search tenants...","Search tenants...","Placeholder"
"Filter by status","Filter by status","Placeholder"
"Filter by role","Filter by role","Placeholder"
"Filter by date","Filter by date","Placeholder"
"Select language","Select language","Placeholder"
"Enter email address","Enter email address","Placeholder"
"Enter password","Enter password","Placeholder"
"Enter name","Enter name","Placeholder"
"Email is required","Email is required","Validation"
"Password is required","Password is required","Validation"
"Name is required","Name is required","Validation"
"Invalid email format","Invalid email format","Validation"
"Password too short","Password too short","Validation"
"Passwords do not match","Passwords do not match","Validation"
"Field is required","Field is required","Validation"
"Invalid date format","Invalid date format","Validation"
"Invalid phone number","Invalid phone number","Validation"
"Value must be positive","Value must be positive","Validation"
"Maximum length exceeded","Maximum length exceeded","Validation"
"User created successfully","User created successfully","Success Message"
"User updated successfully","User updated successfully","Success Message"
"User deleted successfully","User deleted successfully","Success Message"
"Policy created successfully","Policy created successfully","Success Message"
"Policy updated successfully","Policy updated successfully","Success Message"
"Evidence uploaded successfully","Evidence uploaded successfully","Success Message"
"Changes saved successfully","Changes saved successfully","Success Message"
"Data exported successfully","Data exported successfully","Success Message"
"Settings updated successfully","Settings updated successfully","Success Message"
"Language changed successfully","Language changed successfully","Success Message"
"Failed to create user","Failed to create user","Error Message"
"Failed to update user","Failed to update user","Error Message"
"Failed to delete user","Failed to delete user","Error Message"
"Failed to save changes","Failed to save changes","Error Message"
"Failed to load data","Failed to load data","Error Message"
"Failed to export data","Failed to export data","Error Message"
"Network error occurred","Network error occurred","Error Message"
"Permission denied","Permission denied","Error Message"
"Session expired","Session expired","Error Message"
"Invalid credentials","Invalid credentials","Error Message"
"User {0} has been created","User {0} has been created","Success with Placeholder"
"Policy {0} has been updated","Policy {0} has been updated","Success with Placeholder"
"{0} users selected","{0} users selected","Info with Placeholder"
"Showing {0} to {1} of {2} results","Showing {0} to {1} of {2} results","Pagination"
"Page {0} of {1}","Page {0} of {1}","Pagination"
"Are you sure you want to delete this user?","Are you sure you want to delete this user?","Confirmation"
"Are you sure you want to delete {0} users?","Are you sure you want to delete {0} users?","Confirmation"
"This action cannot be undone","This action cannot be undone","Warning"
"Active","Active","Status"
"Inactive","Inactive","Status"
"Pending","Pending","Status"
"Approved","Approved","Status"
"Rejected","Rejected","Status"
"Draft","Draft","Status"
"Published","Published","Status"
"Archived","Archived","Status"
"Suspended","Suspended","Status"
"Expired","Expired","Status"
"Loading...","Loading...","Status"
"Processing...","Processing...","Status"
"Saving...","Saving...","Status"
"Deleting...","Deleting...","Status"
"Uploading...","Uploading...","Status"
"Email","Email","Field Label"
"Password","Password","Field Label"
"First Name","First Name","Field Label"
"Last Name","Last Name","Field Label"
"Full Name","Full Name","Field Label"
"Phone Number","Phone Number","Field Label"
"Date of Birth","Date of Birth","Field Label"
"Gender","Gender","Field Label"
"Address","Address","Field Label"
"City","City","Field Label"
"Country","Country","Field Label"
"Postal Code","Postal Code","Field Label"
"Organization","Organization","Field Label"
"Department","Department","Field Label"
"Position","Position","Field Label"
"Language","Language","Field Label"
"Timezone","Timezone","Field Label"
"Created On","Created On","Field Label"
"Modified On","Modified On","Field Label"
"Created By","Created By","Field Label"
"Modified By","Modified By","Field Label"
"Last Login","Last Login","Field Label"
"Last Activity","Last Activity","Field Label"
"Status","Status","Field Label"
"Description","Description","Field Label"
"Notes","Notes","Field Label"
"Tags","Tags","Field Label"
"Attachments","Attachments","Field Label"
"Comments","Comments","Field Label"
"Administrator","Administrator","Role"
"CAP Admin","CAP Admin","Role"
"CAP User","CAP User","Role"
"Tenant Admin","Tenant Admin","Role"
"Compliance Officer","Compliance Officer","Role"
"Auditor","Auditor","Role"
"Viewer","Viewer","Role"
"Guest","Guest","Role"
"Policy Management","Policy Management","Feature"
"Evidence Management","Evidence Management","Feature"
"Compliance Assessment","Compliance Assessment","Feature"
"Violation Tracking","Violation Tracking","Feature"
"AI Chat","AI Chat","Feature"
"Audit Logging","Audit Logging","Feature"
"Custom Reports","Custom Reports","Feature"
"API Access","API Access","Feature"
"Multi-Language Support","Multi-Language Support","Feature"
"Advanced Analytics","Advanced Analytics","Feature"
"Blockchain Anchoring","Blockchain Anchoring","Feature"
"Real-time Monitoring","Real-time Monitoring","Feature"
"Low","Low","Priority"
"Medium","Medium","Priority"
"High","High","Priority"
"Critical","Critical","Priority"
"Today","Today","Date"
"Yesterday","Yesterday","Date"
"This Week","This Week","Date"
"Last Week","Last Week","Date"
"This Month","This Month","Date"
"Last Month","Last Month","Date"
"This Year","This Year","Date"
"Last Year","Last Year","Date"
"Custom Range","Custom Range","Date"
"All Time","All Time","Date"
"Yes","Yes","Confirmation"
"No","No","Confirmation"
"OK","OK","Confirmation"
"Close","Close","Action"
"Back","Back","Action"
"Next","Next","Action"
"Previous","Previous","Action"
"Finish","Finish","Action"
"Skip","Skip","Action"
"Help","Help","Action"
"Support","Support","Action"
"Documentation","Documentation","Action"
"About","About","Action"
"Version","Version","Info"
"License","License","Info"
"Privacy Policy","Privacy Policy","Link"
"Terms of Service","Terms of Service","Link"
"Contact Us","Contact Us","Link"
"English","English","Language"
"Arabic","العربية","Language"
"French","Français","Language"
"Spanish","Español","Language"
"Change Language","Change Language","Action"
"Select Language","Select Language","Dialog Title"
"Language changed. Refreshing...","Language changed. Refreshing...","Info Message"
"Changing language...","Changing language...","Info Message"
