"Source Text","Translated Text","Context"
"User Management","Gestion des Utilisateurs","Page Title"
"Compliance Dashboard","Tableau de Bord de Conformité","Page Title"
"Tenant Administration","Administration des Locataires","Page Title"
"Overview","Vue d'ensemble","Tab Title"
"Users","Utilisateurs","Tab Title"
"Profile","Profil","Tab Title"
"Roles & Permissions","Rôles et Autorisations","Tab Title"
"Activity Monitor","Moniteur d'Activité","Tab Title"
"Settings","Paramètres","Tab Title"
"Reports","Rapports","Tab Title"
"Analytics","Analytiques","Tab Title"
"Total Users","Total des Utilisateurs","KPI"
"Active Users","Utilisateurs Actifs","KPI"
"Inactive Users","Utilisateurs Inactifs","KPI"
"Active Sessions","Sessions Actives","KPI"
"Compliance Score","Score de Conformité","KPI"
"Violation Count","Nombre de Violations","KPI"
"Total Policies","Total des Politiques","KPI"
"Total Evidences","Total des Preuves","KPI"
"Total Tenants","Total des Locataires","KPI"
"API Usage","Utilisation de l'API","KPI"
"Storage Used","Stockage Utilisé","KPI"
"Create New User","Créer un Nouvel Utilisateur","Button"
"Create New Policy","Créer une Nouvelle Politique","Button"
"Create Tenant","Créer un Locataire","Button"
"Add Evidence","Ajouter une Preuve","Button"
"Export Data","Exporter les Données","Button"
"Import Data","Importer les Données","Button"
"Refresh","Rafraîchir","Button"
"Save","Enregistrer","Button"
"Cancel","Annuler","Button"
"Delete","Supprimer","Button"
"Edit","Modifier","Button"
"Update","Mettre à Jour","Button"
"Submit","Soumettre","Button"
"Approve","Approuver","Button"
"Reject","Rejeter","Button"
"Archive","Archiver","Button"
"Restore","Restaurer","Button"
"Activate","Activer","Button"
"Deactivate","Désactiver","Button"
"Suspend","Suspendre","Button"
"Resume","Reprendre","Button"
"Search users...","Rechercher des utilisateurs...","Placeholder"
"Search policies...","Rechercher des politiques...","Placeholder"
"Search tenants...","Rechercher des locataires...","Placeholder"
"Filter by status","Filtrer par statut","Placeholder"
"Filter by role","Filtrer par rôle","Placeholder"
"Filter by date","Filtrer par date","Placeholder"
"Select language","Sélectionner la langue","Placeholder"
"Enter email address","Saisir l'adresse e-mail","Placeholder"
"Enter password","Saisir le mot de passe","Placeholder"
"Enter name","Saisir le nom","Placeholder"
"Email is required","L'e-mail est requis","Validation"
"Password is required","Le mot de passe est requis","Validation"
"Name is required","Le nom est requis","Validation"
"Invalid email format","Format d'e-mail invalide","Validation"
"Password too short","Mot de passe trop court","Validation"
"Passwords do not match","Les mots de passe ne correspondent pas","Validation"
"Field is required","Le champ est requis","Validation"
"Invalid date format","Format de date invalide","Validation"
"Invalid phone number","Numéro de téléphone invalide","Validation"
"Value must be positive","La valeur doit être positive","Validation"
"Maximum length exceeded","Longueur maximale dépassée","Validation"
"User created successfully","Utilisateur créé avec succès","Success Message"
"User updated successfully","Utilisateur mis à jour avec succès","Success Message"
"User deleted successfully","Utilisateur supprimé avec succès","Success Message"
"Policy created successfully","Politique créée avec succès","Success Message"
"Policy updated successfully","Politique mise à jour avec succès","Success Message"
"Evidence uploaded successfully","Preuve téléchargée avec succès","Success Message"
"Changes saved successfully","Changements enregistrés avec succès","Success Message"
"Data exported successfully","Données exportées avec succès","Success Message"
"Settings updated successfully","Paramètres mis à jour avec succès","Success Message"
"Language changed successfully","Langue changée avec succès","Success Message"
"Failed to create user","Échec de la création de l'utilisateur","Error Message"
"Failed to update user","Échec de la mise à jour de l'utilisateur","Error Message"
"Failed to delete user","Échec de la suppression de l'utilisateur","Error Message"
"Failed to save changes","Échec de l'enregistrement des changements","Error Message"
"Failed to load data","Échec du chargement des données","Error Message"
"Failed to export data","Échec de l'exportation des données","Error Message"
"Network error occurred","Erreur réseau survenue","Error Message"
"Permission denied","Permission refusée","Error Message"
"Session expired","Session expirée","Error Message"
"Invalid credentials","Identifiants invalides","Error Message"
"User {0} has been created","L'utilisateur {0} a été créé","Success with Placeholder"
"Policy {0} has been updated","La politique {0} a été mise à jour","Success with Placeholder"
"{0} users selected","{0} utilisateurs sélectionnés","Info with Placeholder"
"Showing {0} to {1} of {2} results","Affichage de {0} à {1} sur {2} résultats","Pagination"
"Page {0} of {1}","Page {0} sur {1}","Pagination"
"Are you sure you want to delete this user?","Êtes-vous sûr de vouloir supprimer cet utilisateur ?","Confirmation"
"Are you sure you want to delete {0} users?","Êtes-vous sûr de vouloir supprimer {0} utilisateurs ?","Confirmation"
"This action cannot be undone","Cette action ne peut pas être annulée","Warning"
"Active","Actif","Status"
"Inactive","Inactif","Status"
"Pending","En attente","Status"
"Approved","Approuvé","Status"
"Rejected","Rejeté","Status"
"Draft","Brouillon","Status"
"Published","Publié","Status"
"Archived","Archivé","Status"
"Suspended","Suspendu","Status"
"Expired","Expiré","Status"
"Loading...","Chargement...","Status"
"Processing...","Traitement...","Status"
"Saving...","Enregistrement...","Status"
"Deleting...","Suppression...","Status"
"Uploading...","Téléchargement...","Status"
"Email","E-mail","Field Label"
"Password","Mot de passe","Field Label"
"First Name","Prénom","Field Label"
"Last Name","Nom","Field Label"
"Full Name","Nom complet","Field Label"
"Phone Number","Numéro de téléphone","Field Label"
"Date of Birth","Date de naissance","Field Label"
"Gender","Genre","Field Label"
"Address","Adresse","Field Label"
"City","Ville","Field Label"
"Country","Pays","Field Label"
"Postal Code","Code postal","Field Label"
"Organization","Organisation","Field Label"
"Department","Département","Field Label"
"Position","Poste","Field Label"
"Language","Langue","Field Label"
"Timezone","Fuseau horaire","Field Label"
"Created On","Créé le","Field Label"
"Modified On","Modifié le","Field Label"
"Created By","Créé par","Field Label"
"Modified By","Modifié par","Field Label"
"Last Login","Dernière connexion","Field Label"
"Last Activity","Dernière activité","Field Label"
"Status","Statut","Field Label"
"Description","Description","Field Label"
"Notes","Notes","Field Label"
"Tags","Étiquettes","Field Label"
"Attachments","Pièces jointes","Field Label"
"Comments","Commentaires","Field Label"
"Administrator","Administrateur","Role"
"CAP Admin","Administrateur CAP","Role"
"CAP User","Utilisateur CAP","Role"
"Tenant Admin","Administrateur de locataire","Role"
"Compliance Officer","Officier de conformité","Role"
"Auditor","Auditeur","Role"
"Viewer","Visionneur","Role"
"Guest","Invité","Role"
"Policy Management","Gestion des politiques","Feature"
"Evidence Management","Gestion des preuves","Feature"
"Compliance Assessment","Évaluation de conformité","Feature"
"Violation Tracking","Suivi des violations","Feature"
"AI Chat","Chat IA","Feature"
"Audit Logging","Journalisation d'audit","Feature"
"Custom Reports","Rapports personnalisés","Feature"
"API Access","Accès API","Feature"
"Multi-Language Support","Support multilingue","Feature"
"Advanced Analytics","Analytiques avancées","Feature"
"Blockchain Anchoring","Ancrage blockchain","Feature"
"Real-time Monitoring","Surveillance en temps réel","Feature"
"Low","Faible","Priority"
"Medium","Moyen","Priority"
"High","Élevé","Priority"
"Critical","Critique","Priority"
"Today","Aujourd'hui","Date"
"Yesterday","Hier","Date"
"This Week","Cette semaine","Date"
"Last Week","Semaine dernière","Date"
"This Month","Ce mois","Date"
"Last Month","Mois dernier","Date"
"This Year","Cette année","Date"
"Last Year","Année dernière","Date"
"Custom Range","Plage personnalisée","Date"
"All Time","Toujours","Date"
"Yes","Oui","Confirmation"
"No","Non","Confirmation"
"OK","OK","Confirmation"
"Close","Fermer","Action"
"Back","Retour","Action"
"Next","Suivant","Action"
"Previous","Précédent","Action"
"Finish","Terminer","Action"
"Skip","Passer","Action"
"Help","Aide","Action"
"Support","Support","Action"
"Documentation","Documentation","Action"
"About","À propos","Action"
"Version","Version","Info"
"License","Licence","Info"
"Privacy Policy","Politique de confidentialité","Link"
"Terms of Service","Conditions d'utilisation","Link"
"Contact Us","Nous contacter","Link"
"English","Anglais","Language"
"Arabic","العربية","Language"
"French","Français","Language"
"Spanish","Espagnol","Language"
"Change Language","Changer la langue","Action"
"Select Language","Sélectionner la langue","Dialog Title"
"Language changed. Refreshing...","Langue changée. Actualisation...","Info Message"
"Changing language...","Changement de langue...","Info Message"
"Invalid language code","Code langue invalide","Error Message"
"Failed to change language","Échec du changement de langue","Error Message"
