"Source Text","Translated Text","Context"
"User Management","Gestión de Usuarios","Page Title"
"Compliance Dashboard","Panel de Cumplimiento","Page Title"
"Tenant Administration","Administración de Inquilinos","Page Title"
"Overview","Resumen","Tab Title"
"Users","Usuarios","Tab Title"
"Profile","Perfil","Tab Title"
"Roles & Permissions","Roles y Permisos","Tab Title"
"Activity Monitor","Monitor de Actividad","Tab Title"
"Settings","Configuración","Tab Title"
"Reports","Informes","Tab Title"
"Analytics","Análisis","Tab Title"
"Total Users","Total de Usuarios","KPI"
"Active Users","Usuarios Activos","KPI"
"Inactive Users","Usuarios Inactivos","KPI"
"Active Sessions","Sesiones Activas","KPI"
"Compliance Score","Puntuación de Cumplimiento","KPI"
"Violation Count","Número de Violaciones","KPI"
"Total Policies","Total de Políticas","KPI"
"Total Evidences","Total de Evidencias","KPI"
"Total Tenants","Total de Inquilinos","KPI"
"API Usage","Uso de API","KPI"
"Storage Used","Almacenamiento Usado","KPI"
"Create New User","Crear Nuevo Usuario","Button"
"Create New Policy","Crear Nueva Política","Button"
"Create Tenant","Crear Inquilino","Button"
"Add Evidence","Agregar Evidencia","Button"
"Export Data","Exportar Datos","Button"
"Import Data","Importar Datos","Button"
"Refresh","Actualizar","Button"
"Save","Guardar","Button"
"Cancel","Cancelar","Button"
"Delete","Eliminar","Button"
"Edit","Editar","Button"
"Update","Actualizar","Button"
"Submit","Enviar","Button"
"Approve","Aprobar","Button"
"Reject","Rechazar","Button"
"Archive","Archivar","Button"
"Restore","Restaurar","Button"
"Activate","Activar","Button"
"Deactivate","Desactivar","Button"
"Suspend","Suspender","Button"
"Resume","Reanudar","Button"
"Search users...","Buscar usuarios...","Placeholder"
"Search policies...","Buscar políticas...","Placeholder"
"Search tenants...","Buscar inquilinos...","Placeholder"
"Filter by status","Filtrar por estado","Placeholder"
"Filter by role","Filtrar por rol","Placeholder"
"Filter by date","Filtrar por fecha","Placeholder"
"Select language","Seleccionar idioma","Placeholder"
"Enter email address","Ingresar dirección de correo","Placeholder"
"Enter password","Ingresar contraseña","Placeholder"
"Enter name","Ingresar nombre","Placeholder"
"Email is required","El correo es requerido","Validation"
"Password is required","La contraseña es requerida","Validation"
"Name is required","El nombre es requerido","Validation"
"Invalid email format","Formato de correo inválido","Validation"
"Password too short","Contraseña muy corta","Validation"
"Passwords do not match","Las contraseñas no coinciden","Validation"
"Field is required","El campo es requerido","Validation"
"Invalid date format","Formato de fecha inválido","Validation"
