"Source Text","Translated Text","Context"
"User Management","إدارة المستخدمين","Page Title"
"Compliance Dashboard","لوحة الامتثال","Page Title"
"Tenant Administration","إدارة المستأجرين","Page Title"
"Overview","نظرة عامة","Tab Title"
"Users","المستخدمون","Tab Title"
"Profile","الملف الشخصي","Tab Title"
"Roles & Permissions","الأدوار والصلاحيات","Tab Title"
"Activity Monitor","مراقب النشاط","Tab Title"
"Settings","الإعدادات","Tab Title"
"Reports","التقارير","Tab Title"
"Analytics","التحليلات","Tab Title"
"Total Users","إجمالي المستخدمين","KPI"
"Active Users","المستخدمون النشطون","KPI"
"Inactive Users","المستخدمون غير النشطين","KPI"
"Active Sessions","الجلسات النشطة","KPI"
"Compliance Score","درجة الامتثال","KPI"
"Violation Count","عدد المخالفات","KPI"
"Total Policies","إجمالي السياسات","KPI"
"Total Evidences","إجمالي الأدلة","KPI"
"Total Tenants","إجمالي المستأجرين","KPI"
"API Usage","استخدام API","KPI"
"Storage Used","المساحة المستخدمة","KPI"
"Create New User","إنشاء مستخدم جديد","Button"
"Create New Policy","إنشاء سياسة جديدة","Button"
"Create Tenant","إنشاء مستأجر","Button"
"Add Evidence","إضافة دليل","Button"
"Export Data","تصدير البيانات","Button"
"Import Data","استيراد البيانات","Button"
"Refresh","تحديث","Button"
"Save","حفظ","Button"
"Cancel","إلغاء","Button"
"Delete","حذف","Button"
"Edit","تحرير","Button"
"Update","تحديث","Button"
"Submit","إرسال","Button"
"Approve","موافقة","Button"
"Reject","رفض","Button"
"Archive","أرشفة","Button"
"Restore","استعادة","Button"
"Activate","تفعيل","Button"
"Deactivate","تعطيل","Button"
"Suspend","تعليق","Button"
"Resume","استئناف","Button"
"Search users...","ابحث عن مستخدمين...","Placeholder"
"Search policies...","ابحث عن سياسات...","Placeholder"
"Search tenants...","ابحث عن مستأجرين...","Placeholder"
"Filter by status","تصفية حسب الحالة","Placeholder"
"Filter by role","تصفية حسب الدور","Placeholder"
"Filter by date","تصفية حسب التاريخ","Placeholder"
"Select language","اختر اللغة","Placeholder"
"Enter email address","أدخل عنوان البريد الإلكتروني","Placeholder"
"Enter password","أدخل كلمة المرور","Placeholder"
"Enter name","أدخل الاسم","Placeholder"
"Email is required","البريد الإلكتروني مطلوب","Validation"
"Password is required","كلمة المرور مطلوبة","Validation"
"Name is required","الاسم مطلوب","Validation"
"Invalid email format","صيغة البريد الإلكتروني غير صحيحة","Validation"
"Password too short","كلمة المرور قصيرة جداً","Validation"
"Passwords do not match","كلمات المرور غير متطابقة","Validation"
"Field is required","الحقل مطلوب","Validation"
"Invalid date format","صيغة التاريخ غير صحيحة","Validation"
"Invalid phone number","رقم الهاتف غير صحيح","Validation"
"Value must be positive","يجب أن تكون القيمة موجبة","Validation"
"Maximum length exceeded","تم تجاوز الحد الأقصى للطول","Validation"
"User created successfully","تم إنشاء المستخدم بنجاح","Success Message"
"User updated successfully","تم تحديث المستخدم بنجاح","Success Message"
"User deleted successfully","تم حذف المستخدم بنجاح","Success Message"
"Policy created successfully","تم إنشاء السياسة بنجاح","Success Message"
"Policy updated successfully","تم تحديث السياسة بنجاح","Success Message"
"Evidence uploaded successfully","تم رفع الدليل بنجاح","Success Message"
"Changes saved successfully","تم حفظ التغييرات بنجاح","Success Message"
"Data exported successfully","تم تصدير البيانات بنجاح","Success Message"
"Settings updated successfully","تم تحديث الإعدادات بنجاح","Success Message"
"Language changed successfully","تم تغيير اللغة بنجاح","Success Message"
"Failed to create user","فشل إنشاء المستخدم","Error Message"
"Failed to update user","فشل تحديث المستخدم","Error Message"
"Failed to delete user","فشل حذف المستخدم","Error Message"
"Failed to save changes","فشل حفظ التغييرات","Error Message"
"Failed to load data","فشل تحميل البيانات","Error Message"
"Failed to export data","فشل تصدير البيانات","Error Message"
"Network error occurred","حدث خطأ في الشبكة","Error Message"
"Permission denied","تم رفض الصلاحية","Error Message"
"Session expired","انتهت صلاحية الجلسة","Error Message"
"Invalid credentials","بيانات الاعتماد غير صحيحة","Error Message"
"User {0} has been created","تم إنشاء المستخدم {0}","Success with Placeholder"
"Policy {0} has been updated","تم تحديث السياسة {0}","Success with Placeholder"
"{0} users selected","تم اختيار {0} مستخدم","Info with Placeholder"
"Showing {0} to {1} of {2} results","عرض {0} إلى {1} من {2} نتيجة","Pagination"
"Page {0} of {1}","صفحة {0} من {1}","Pagination"
"Are you sure you want to delete this user?","هل أنت متأكد من حذف هذا المستخدم؟","Confirmation"
"Are you sure you want to delete {0} users?","هل أنت متأكد من حذف {0} مستخدم؟","Confirmation"
"This action cannot be undone","لا يمكن التراجع عن هذا الإجراء","Warning"
"Active","نشط","Status"
"Inactive","غير نشط","Status"
"Pending","قيد المراجعة","Status"
"Approved","موافق عليه","Status"
"Rejected","مرفوض","Status"
"Draft","مسودة","Status"
"Published","منشور","Status"
"Archived","مؤرشف","Status"
"Suspended","معلق","Status"
"Expired","منتهي الصلاحية","Status"
"Loading...","جاري التحميل...","Status"
"Processing...","جاري المعالجة...","Status"
"Saving...","جاري الحفظ...","Status"
"Deleting...","جاري الحذف...","Status"
"Uploading...","جاري الرفع...","Status"
"Email","البريد الإلكتروني","Field Label"
"Password","كلمة المرور","Field Label"
"First Name","الاسم الأول","Field Label"
"Last Name","الاسم الأخير","Field Label"
"Full Name","الاسم الكامل","Field Label"
"Phone Number","رقم الهاتف","Field Label"
"Date of Birth","تاريخ الميلاد","Field Label"
"Gender","الجنس","Field Label"
"Address","العنوان","Field Label"
"City","المدينة","Field Label"
"Country","الدولة","Field Label"
